Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[0.33 0.33 0.33 0.01 0.  ],5.580804263161099e-13,0.024999999999999994
[0.33 0.33 0.33 0.   0.01],4.963749088346959e-07,0.0
[0.32 0.32 0.32 0.04 0.  ],2.81054610695719e-12,0.07499999999999998
[0.32 0.32 0.32 0.03 0.01],5.995464976876974e-07,0.0
[0.32 0.32 0.32 0.02 0.02],9.298605844378471e-07,0.024999999999999994
[0.32 0.32 0.32 0.01 0.03],1.1276282370090485e-06,0.024999999999999994
[0.32 0.32 0.32 0.   0.04],1.7840847373008729e-06,0.0
[0.31 0.31 0.31 0.07 0.  ],6.260053453388536e-12,0.2
[0.31 0.31 0.31 0.06 0.01],5.228013731539249e-07,0.024999999999999994
[0.31 0.31 0.31 0.05 0.02],1.071944646537304e-06,-0.02500000000000001
[0.31 0.31 0.31 0.04 0.03],1.3137451373040676e-06,0.024999999999999994
[0.31 0.31 0.31 0.03 0.04],1.7594747245311738e-06,0.024999999999999994
[0.31 0.31 0.31 0.02 0.05],2.1559417247772215e-06,0.024999999999999994
[0.31 0.31 0.31 0.01 0.06],1.9589144736528395e-06,0.024999999999999994
[0.31 0.31 0.31 0.   0.07],2.1763116121292115e-06,0.024999999999999994
[0.3 0.3 0.3 0.1 0. ],9.78203331669647e-12,0.2
[0.3  0.3  0.3  0.09 0.01],4.162042867392302e-07,0.0
[0.3  0.3  0.3  0.08 0.02],7.528587710112333e-07,-0.05
[0.3  0.3  0.3  0.07 0.03],1.2008538469672202e-06,0.024999999999999994
[0.3  0.3  0.3  0.06 0.04],1.2497317045927048e-06,0.024999999999999994
[0.3  0.3  0.3  0.05 0.05],2.196807786822319e-06,0.0
[0.3  0.3  0.3  0.04 0.06],2.175620011985302e-06,0.0
[0.3  0.3  0.3  0.03 0.07],2.4923380464315413e-06,0.024999999999999994
[0.3  0.3  0.3  0.02 0.08],2.754819765686989e-06,0.0
[0.3  0.3  0.3  0.01 0.09],2.706022933125496e-06,0.024999999999999994
[0.3 0.3 0.3 0.  0.1],2.9040571302175524e-06,0.024999999999999994
[0.29 0.29 0.29 0.13 0.  ],1.7700750731819426e-11,0.2
[0.29 0.29 0.29 0.12 0.01],2.784948330372572e-07,0.04999999999999999
[0.29 0.29 0.29 0.11 0.02],7.344250101596117e-07,0.024999999999999994
[0.29 0.29 0.29 0.1  0.03],1.3794281519949436e-06,0.024999999999999994
[0.29 0.29 0.29 0.09 0.04],1.3242779299616815e-06,0.0
[0.29 0.29 0.29 0.08 0.05],1.5863021835684776e-06,0.024999999999999994
[0.29 0.29 0.29 0.07 0.06],2.0289314910769463e-06,0.024999999999999994
[0.29 0.29 0.29 0.06 0.07],2.35975906252861e-06,0.024999999999999994
[0.29 0.29 0.29 0.05 0.08],2.5075683370232584e-06,0.0
[0.29 0.29 0.29 0.04 0.09],2.499721571803093e-06,0.024999999999999994
[0.29 0.29 0.29 0.03 0.1 ],2.5518424808979034e-06,0.024999999999999994
[0.29 0.29 0.29 0.02 0.11],2.876901626586914e-06,0.024999999999999994
[0.29 0.29 0.29 0.01 0.12],3.3273909240961075e-06,0.024999999999999994
[0.29 0.29 0.29 0.   0.13],2.8114821761846543e-06,0.024999999999999994
[0.28 0.28 0.28 0.16 0.  ],2.1764114421785053e-11,0.2
[0.28 0.28 0.28 0.15 0.01],5.39676658809185e-07,-0.02500000000000001
[0.28 0.28 0.28 0.14 0.02],8.675751276314258e-07,0.0
[0.28 0.28 0.28 0.13 0.03],9.30121075361967e-07,0.024999999999999994
[0.28 0.28 0.28 0.12 0.04],1.2706149369478226e-06,0.024999999999999994
[0.28 0.28 0.28 0.11 0.05],1.950051076710224e-06,0.024999999999999994
