Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[1. 0. 0. 0. 0.],4.225634064651242e-23,-0.125
[0.95 0.05 0.   0.   0.  ],2.037285974076648e-19,-0.15
[0.95 0.   0.   0.05 0.  ],1.2634072454886791e-12,0.07499999999999998
[0.9 0.1 0.  0.  0. ],4.437835156593985e-19,-0.15
[0.9  0.05 0.   0.05 0.  ],2.021689837761187e-12,0.2
[0.9 0.  0.  0.1 0. ],3.938016845950187e-12,0.2
[0.85 0.15 0.   0.   0.  ],6.717134325568949e-19,-0.15
[0.85 0.1  0.   0.05 0.  ],3.1360656294054935e-12,0.07499999999999998
[0.85 0.05 0.   0.1  0.  ],5.397241409355047e-12,0.2
[0.85 0.   0.   0.15 0.  ],6.9768809396464345e-12,0.2
[0.8 0.2 0.  0.  0. ],9.815092532131087e-19,-0.15
[0.8  0.15 0.   0.05 0.  ],2.7096145771565718e-12,0.024999999999999994
[0.8 0.1 0.  0.1 0. ],6.8444855116922556e-12,0.2
[0.8  0.05 0.   0.15 0.  ],1.1398752519653499e-11,0.2
[0.8 0.  0.  0.2 0. ],1.161922185133335e-11,0.2
[0.75 0.25 0.   0.   0.  ],1.2860317432012487e-18,-0.075
[0.75 0.2  0.   0.05 0.  ],3.1116467624769938e-12,0.024999999999999994
[0.75 0.15 0.   0.1  0.  ],8.423566555393336e-12,0.2
[0.75 0.1  0.   0.15 0.  ],1.539271892170291e-11,0.2
[0.75 0.05 0.   0.2  0.  ],1.9264099648808042e-11,0.2
[0.75 0.   0.   0.25 0.  ],1.8250706546041328e-11,0.2
[0.7 0.3 0.  0.  0. ],1.5732723893731489e-18,-0.075
[0.7  0.25 0.   0.05 0.  ],3.072153020866608e-12,0.07499999999999998
[0.7 0.2 0.  0.1 0. ],8.958507891065892e-12,0.2
[0.7  0.15 0.   0.15 0.  ],1.536495801701676e-11,0.2
[0.7 0.1 0.  0.2 0. ],2.4536561227250786e-11,0.2
[0.7  0.05 0.   0.25 0.  ],2.956643356810673e-11,0.2
[0.7 0.  0.  0.3 0. ],2.3497983647757792e-11,0.2
[0.65 0.35 0.   0.   0.  ],1.9575908887068013e-18,-0.075
[0.65 0.3  0.   0.05 0.  ],2.5840954265277106e-12,0.2
[0.65 0.25 0.   0.1  0.  ],9.48841645254106e-12,0.2
[0.65 0.2  0.   0.15 0.  ],1.9304749798720877e-11,0.2
[0.65 0.15 0.   0.2  0.  ],2.7266054303254352e-11,0.2
[0.65 0.1  0.   0.25 0.  ],3.5442525359030694e-11,0.2
[0.65 0.05 0.   0.3  0.  ],4.1980223386417494e-11,0.2
[0.65 0.   0.   0.35 0.  ],3.3372162988598574e-11,0.2
[0.6 0.4 0.  0.  0. ],2.2801766104050233e-18,-0.075
[0.6  0.35 0.   0.05 0.  ],2.414513744497526e-12,0.2
[0.6 0.3 0.  0.1 0. ],8.182642119436422e-12,0.2
[0.6  0.25 0.   0.15 0.  ],1.7562020104833208e-11,0.2
[0.6 0.2 0.  0.2 0. ],2.791663007428724e-11,0.2
[0.6  0.15 0.   0.25 0.  ],4.398195869725896e-11,0.2
[0.6 0.1 0.  0.3 0. ],5.054051825936767e-11,0.2
[0.6  0.05 0.   0.35 0.  ],5.056581926510262e-11,0.2
[0.6 0.  0.  0.4 0. ],4.1146830653815415e-11,0.2
[0.55 0.45 0.   0.   0.  ],2.538155571677782e-18,-0.075
[0.55 0.4  0.   0.05 0.  ],2.390212472391795e-12,0.2
[0.55 0.35 0.   0.1  0.  ],6.030898447306754e-12,0.2
[0.55 0.3  0.   0.15 0.  ],1.5564552313662717e-11,0.2
[0.55 0.25 0.   0.2  0.  ],2.9359767950154495e-11,0.2
[0.55 0.2  0.   0.25 0.  ],4.4314714386928247e-11,0.2
[0.55 0.15 0.   0.3  0.  ],5.727308689529309e-11,0.2
[0.55 0.1  0.   0.35 0.  ],6.013532924953325e-11,0.2
[0.55 0.05 0.   0.4  0.  ],6.290951546361611e-11,0.2
[0.55 0.   0.   0.45 0.  ],4.659166847886809e-11,0.2
[0.5 0.5 0.  0.  0. ],2.8600189436785856e-18,-0.075
[0.5  0.45 0.   0.05 0.  ],2.007873156628648e-12,0.2
[0.5 0.4 0.  0.1 0. ],7.101681376298075e-12,0.2
[0.5  0.35 0.   0.15 0.  ],1.60218533551415e-11,0.2
[0.5 0.3 0.  0.2 0. ],2.7921080913984043e-11,0.2
[0.5  0.25 0.   0.25 0.  ],4.368503709883953e-11,0.2
[0.5 0.2 0.  0.3 0. ],5.973458314656455e-11,0.2
[0.5  0.15 0.   0.35 0.  ],7.365548526649945e-11,0.2
[0.5 0.1 0.  0.4 0. ],7.891391078373999e-11,0.2
[0.5  0.05 0.   0.45 0.  ],7.543620199612633e-11,0.2
[0.5 0.  0.  0.5 0. ],5.597093490905536e-11,0.2
[0.45 0.55 0.   0.   0.  ],3.101875649239895e-18,-0.075
[0.45 0.5  0.   0.05 0.  ],1.9160783182314843e-12,0.2
[0.45 0.45 0.   0.1  0.  ],5.629053489997204e-12,0.2
[0.45 0.4  0.   0.15 0.  ],1.4038391782378313e-11,0.2
[0.45 0.35 0.   0.2  0.  ],2.608709337437176e-11,0.2
[0.45 0.3  0.   0.25 0.  ],4.120596202028537e-11,0.2
[0.45 0.25 0.   0.3  0.  ],5.873482109564065e-11,0.2
[0.45 0.2  0.   0.35 0.  ],7.689513381592406e-11,0.2
[0.45 0.15 0.   0.4  0.  ],9.004962748804245e-11,0.2
