Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[1. 0. 0. 0. 0.],4.225634064651242e-23,-0.125
[0.95 0.05 0.   0.   0.  ],1.9241130549610538e-19,-0.15
[0.95 0.   0.   0.   0.05],3.165760263800621e-06,0.07499999999999998
[0.9 0.1 0.  0.  0. ],4.323940141890857e-19,-0.075
[0.9  0.05 0.   0.   0.05],2.5950925424695017e-06,0.07499999999999998
[0.9 0.  0.  0.  0.1],4.563185945153237e-06,0.07499999999999998
[0.85 0.15 0.   0.   0.  ],7.00204063364151e-19,-0.15
[0.85 0.1  0.   0.   0.05],2.4901963770389557e-06,0.024999999999999994
[0.85 0.05 0.   0.   0.1 ],3.8497317582368854e-06,0.07499999999999998
[0.85 0.   0.   0.   0.15],4.968836158514023e-06,0.07499999999999998
[0.8 0.2 0.  0.  0. ],1.0207287421434666e-18,-0.15
[0.8  0.15 0.   0.   0.05],1.9848236814141274e-06,0.07499999999999998
[0.8 0.1 0.  0.  0.1],3.5018250346183777e-06,0.07499999999999998
[0.8  0.05 0.   0.   0.15],4.773148149251938e-06,0.07499999999999998
[0.8 0.  0.  0.  0.2],5.190428718924523e-06,0.07499999999999998
[0.75 0.25 0.   0.   0.  ],1.3089433067981199e-18,-0.075
[0.75 0.2  0.   0.   0.05],2.1138058975338934e-06,0.024999999999999994
[0.75 0.15 0.   0.   0.1 ],3.1676143407821654e-06,0.07499999999999998
[0.75 0.1  0.   0.   0.15],3.888249024748802e-06,0.07499999999999998
[0.75 0.05 0.   0.   0.2 ],4.384879022836685e-06,0.07499999999999998
[0.75 0.   0.   0.   0.25],4.459343105554581e-06,0.07499999999999998
[0.7 0.3 0.  0.  0. ],1.5928005645655072e-18,-0.075
[0.7  0.25 0.   0.   0.05],1.9363133236765863e-06,0.024999999999999994
[0.7 0.2 0.  0.  0.1],3.0340854078531265e-06,0.04999999999999999
[0.7  0.15 0.   0.   0.15],3.486906737089157e-06,0.07499999999999998
[0.7 0.1 0.  0.  0.2],3.6345988512039186e-06,0.07499999999999998
[0.7  0.05 0.   0.   0.25],3.8061000406742094e-06,0.07499999999999998
[0.7 0.  0.  0.  0.3],3.490346670150757e-06,0.07499999999999998
[0.65 0.35 0.   0.   0.  ],1.9204015683444223e-18,-0.075
[0.65 0.3  0.   0.   0.05],1.6985774040222167e-06,0.04999999999999999
