Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[1. 0. 0. 0. 0.],4.225634064651242e-23,-0.125
[0.95 0.   0.05 0.   0.  ],1.8001785822505937e-19,-0.075
[0.95 0.   0.   0.   0.05],2.074554190039635e-06,0.07499999999999998
[0.9 0.  0.1 0.  0. ],3.841313897556039e-19,-0.075
[0.9  0.   0.05 0.   0.05],1.9889583811163904e-06,0.07499999999999998
[0.9 0.  0.  0.  0.1],3.4870758652687073e-06,0.07499999999999998
[0.85 0.   0.15 0.   0.  ],6.112124525850093e-19,-0.075
[0.85 0.   0.1  0.   0.05],1.6609275713562966e-06,0.024999999999999994
[0.85 0.   0.05 0.   0.1 ],3.29333059489727e-06,0.07499999999999998
[0.85 0.   0.   0.   0.15],4.3506007641553875e-06,0.07499999999999998
[0.8 0.  0.2 0.  0. ],8.656018576338932e-19,-0.075
[0.8  0.   0.15 0.   0.05],1.6041729599237442e-06,0.024999999999999994
[0.8 0.  0.1 0.  0.1],2.837347984313965e-06,0.07499999999999998
[0.8  0.   0.05 0.   0.15],3.6717727780342103e-06,0.07499999999999998
[0.8 0.  0.  0.  0.2],4.9286700785160066e-06,0.07499999999999998
[0.75 0.   0.25 0.   0.  ],1.2021188149189017e-18,-0.075
[0.75 0.   0.2  0.   0.05],1.6158144921064376e-06,0.024999999999999994
[0.75 0.   0.15 0.   0.1 ],2.4214891716837883e-06,0.07499999999999998
[0.75 0.   0.1  0.   0.15],3.5878587514162065e-06,0.07499999999999998
[0.75 0.   0.05 0.   0.2 ],4.443651810288429e-06,0.07499999999999998
[0.75 0.   0.   0.   0.25],5.013453215360642e-06,0.07499999999999998
[0.7 0.  0.3 0.  0. ],1.4773321861628538e-18,-0.075
[0.7  0.   0.25 0.   0.05],1.4288221485912799e-06,0.024999999999999994
[0.7 0.  0.2 0.  0.1],2.4486180394887923e-06,0.07499999999999998
[0.7  0.   0.15 0.   0.15],3.4224007278680803e-06,0.07499999999999998
[0.7 0.  0.1 0.  0.2],4.273483902215958e-06,0.07499999999999998
[0.7  0.   0.05 0.   0.25],4.962725937366485e-06,0.07499999999999998
[0.7 0.  0.  0.  0.3],5.080104619264603e-06,0.07499999999999998
[0.65 0.   0.35 0.   0.  ],1.7045279372533175e-18,-0.075
[0.65 0.   0.3  0.   0.05],1.3047103770077229e-06,0.04999999999999999
[0.65 0.   0.25 0.   0.1 ],2.2272054105997086e-06,0.07499999999999998
[0.65 0.   0.2  0.   0.15],3.1498122960329056e-06,0.07499999999999998
[0.65 0.   0.15 0.   0.2 ],3.59710231423378e-06,0.07499999999999998
[0.65 0.   0.1  0.   0.25],4.303165152668953e-06,0.07499999999999998
[0.65 0.   0.05 0.   0.3 ],4.581465572118759e-06,0.07499999999999998
[0.65 0.   0.   0.   0.35],5.2827291190624235e-06,0.07499999999999998
[0.6 0.  0.4 0.  0. ],1.9243240085165674e-18,-0.075
[0.6  0.   0.35 0.   0.05],1.1585242114961147e-06,0.04999999999999999
[0.6 0.  0.3 0.  0.1],2.03983299434185e-06,0.07499999999999998
[0.6  0.   0.25 0.   0.15],2.6177793741226195e-06,0.07499999999999998
[0.6 0.  0.2 0.  0.2],3.619253635406494e-06,0.07499999999999998
[0.6  0.   0.15 0.   0.25],4.033979028463364e-06,0.07499999999999998
[0.6 0.  0.1 0.  0.3],4.367744922637939e-06,0.07499999999999998
[0.6  0.   0.05 0.   0.35],4.476302489638329e-06,0.07499999999999998
[0.6 0.  0.  0.  0.4],4.743760451674461e-06,0.07499999999999998
[0.55 0.   0.45 0.   0.  ],2.1903819700402375e-18,-0.075
[0.55 0.   0.4  0.   0.05],1.217148918658495e-06,0.04999999999999999
[0.55 0.   0.35 0.   0.1 ],2.043535374104977e-06,0.024999999999999994
[0.55 0.   0.3  0.   0.15],2.736085094511509e-06,0.04999999999999999
[0.55 0.   0.25 0.   0.2 ],3.057467192411423e-06,0.07499999999999998
[0.55 0.   0.2  0.   0.25],3.549301624298096e-06,0.07499999999999998
[0.55 0.   0.15 0.   0.3 ],3.599045053124428e-06,0.07499999999999998
[0.55 0.   0.1  0.   0.35],3.89607772231102e-06,0.07499999999999998
[0.55 0.   0.05 0.   0.4 ],4.044183343648911e-06,0.07499999999999998
[0.55 0.   0.   0.   0.45],4.1045688092708586e-06,0.07499999999999998
[0.5 0.  0.5 0.  0. ],2.344885014784158e-18,-0.075
[0.5  0.   0.45 0.   0.05],1.1952552944421769e-06,0.04999999999999999
[0.5 0.  0.4 0.  0.1],2.1061822772026063e-06,0.024999999999999994
