Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[1. 0. 0. 0. 0.],4.225634064651242e-23,-0.125
[0.95 0.   0.05 0.   0.  ],3.482230373193576e-19,-0.075
[0.95 0.   0.   0.   0.05],3.0001062899827955e-06,0.07499999999999998
[0.9 0.  0.1 0.  0. ],7.263961432140905e-19,-0.075
[0.9  0.   0.05 0.   0.05],2.742771804332733e-06,0.07499999999999998
[0.9 0.  0.  0.  0.1],4.7761045396327975e-06,0.07499999999999998
[0.85 0.   0.15 0.   0.  ],1.180951715676901e-18,-0.075
[0.85 0.   0.1  0.   0.05],2.232573926448822e-06,0.07499999999999998
[0.85 0.   0.05 0.   0.1 ],3.988644853234291e-06,0.07499999999999998
[0.85 0.   0.   0.   0.15],4.989667981863022e-06,0.07499999999999998
[0.8 0.  0.2 0.  0. ],1.6369419925457706e-18,-0.075
[0.8  0.   0.15 0.   0.05],1.715761236846447e-06,0.07499999999999998
[0.8 0.  0.1 0.  0.1],3.4554120153188707e-06,0.07499999999999998
[0.8  0.   0.05 0.   0.15],4.321301355957985e-06,0.07499999999999998
[0.8 0.  0.  0.  0.2],5.180945247411728e-06,0.07499999999999998
[0.75 0.   0.25 0.   0.  ],2.0254006195190124e-18,-0.075
[0.75 0.   0.2  0.   0.05],1.8494162708520889e-06,0.024999999999999994
[0.75 0.   0.15 0.   0.1 ],2.877950482070446e-06,0.07499999999999998
[0.75 0.   0.1  0.   0.15],4.140517115592957e-06,0.07499999999999998
[0.75 0.   0.05 0.   0.2 ],4.57233339548111e-06,0.07499999999999998
[0.75 0.   0.   0.   0.25],4.757928848266601e-06,0.07499999999999998
[0.7 0.  0.3 0.  0. ],2.264939334716866e-18,-0.075
[0.7  0.   0.25 0.   0.05],1.5964165329933167e-06,0.024999999999999994
[0.7 0.  0.2 0.  0.1],2.549061179161072e-06,0.04999999999999999
[0.7  0.   0.15 0.   0.15],3.2878547906875612e-06,0.07499999999999998
[0.7 0.  0.1 0.  0.2],3.773882985115051e-06,0.07499999999999998
[0.7  0.   0.05 0.   0.25],3.7888161838054656e-06,0.07499999999999998
[0.7 0.  0.  0.  0.3],3.7440378218889237e-06,0.07499999999999998
[0.65 0.   0.35 0.   0.  ],2.5476413242474934e-18,-0.075
[0.65 0.   0.3  0.   0.05],1.658780314028263e-06,0.04999999999999999
[0.65 0.   0.25 0.   0.1 ],2.555321529507637e-06,0.04999999999999999
[0.65 0.   0.2  0.   0.15],2.804715931415558e-06,0.04999999999999999
