Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[1. 0. 0. 0. 0.],4.225634064651242e-23,-0.12586206896551724
[0.95 0.   0.05 0.   0.  ],3.145281937325236e-19,-0.05344827586206896
[0.95 0.   0.   0.   0.05],2.563104033470154e-06,0.06724137931034482
[0.9 0.  0.1 0.  0. ],6.65148461347553e-19,-0.05344827586206896
[0.9  0.   0.05 0.   0.05],2.4978587403893473e-06,0.06724137931034482
[0.9 0.  0.  0.  0.1],3.882009163498878e-06,0.06724137931034482
[0.85 0.   0.15 0.   0.  ],1.249962539208319e-18,-0.05344827586206896
[0.85 0.   0.1  0.   0.05],2.190139889717102e-06,0.06724137931034482
[0.85 0.   0.05 0.   0.1 ],3.5646315664052965e-06,0.06724137931034482
[0.85 0.   0.   0.   0.15],4.5346058905124665e-06,0.0793103448275862
[0.8 0.  0.2 0.  0. ],1.6375742179376012e-18,-0.05344827586206896
[0.8  0.   0.15 0.   0.05],2.0976530387997625e-06,0.06724137931034482
[0.8 0.  0.1 0.  0.1],3.1122200191020966e-06,0.06724137931034482
[0.8  0.   0.05 0.   0.15],4.137914627790451e-06,0.06724137931034482
[0.8 0.  0.  0.  0.2],4.521788656711578e-06,0.0793103448275862
[0.75 0.   0.25 0.   0.  ],1.945009230714875e-18,-0.05344827586206896
[0.75 0.   0.2  0.   0.05],1.8115371465682983e-06,0.06724137931034482
[0.75 0.   0.15 0.   0.1 ],3.3349607139825823e-06,0.06724137931034482
[0.75 0.   0.1  0.   0.15],3.7039779126644134e-06,0.06724137931034482
[0.75 0.   0.05 0.   0.2 ],3.940928727388382e-06,0.0793103448275862
[0.75 0.   0.   0.   0.25],4.517253860831261e-06,0.0793103448275862
[0.7 0.  0.3 0.  0. ],2.3109227205442283e-18,-0.05344827586206896
[0.7  0.   0.25 0.   0.05],1.6677696257829665e-06,0.05517241379310345
[0.7 0.  0.2 0.  0.1],2.766522578895092e-06,0.05517241379310345
[0.7  0.   0.15 0.   0.15],3.2815072685480116e-06,0.06724137931034482
[0.7 0.  0.1 0.  0.2],3.2813895493745806e-06,0.06724137931034482
[0.7  0.   0.05 0.   0.25],3.575620800256729e-06,0.0793103448275862
[0.7 0.  0.  0.  0.3],3.998956084251404e-06,0.0793103448275862
[0.65 0.   0.35 0.   0.  ],2.45644823248679e-18,-0.05344827586206896
[0.65 0.   0.3  0.   0.05],1.636107824742794e-06,0.031034482758620696
[0.65 0.   0.25 0.   0.1 ],2.5807529687881468e-06,0.05517241379310345
[0.65 0.   0.2  0.   0.15],3.360557556152344e-06,0.05517241379310345
[0.65 0.   0.15 0.   0.2 ],3.117326274514198e-06,0.06724137931034482
[0.65 0.   0.1  0.   0.25],3.045817092061043e-06,0.06724137931034482
[0.65 0.   0.05 0.   0.3 ],2.8713539242744445e-06,0.0793103448275862
[0.65 0.   0.   0.   0.35],2.9431339353322984e-06,0.0793103448275862
[0.6 0.  0.4 0.  0. ],2.605335957010183e-18,-0.05344827586206896
[0.6  0.   0.35 0.   0.05],1.7213720828294753e-06,0.01896551724137932
[0.6 0.  0.3 0.  0.1],2.5460787117481232e-06,0.031034482758620696
[0.6  0.   0.25 0.   0.15],2.97956932336092e-06,0.05517241379310345
[0.6 0.  0.2 0.  0.2],3.300771862268448e-06,0.05517241379310345
[0.6  0.   0.15 0.   0.25],2.8198961168527604e-06,0.05517241379310345
[0.6 0.  0.1 0.  0.3],2.6511143893003464e-06,0.06724137931034482
