Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[1. 0. 0. 0. 0.],4.225634064651242e-23,-0.125
[0.9 0.1 0.  0.  0. ],4.390884967360626e-19,-0.15
[0.9 0.  0.1 0.  0. ],6.845074417086974e-19,-0.075
[0.9 0.  0.  0.1 0. ],3.3086955397720887e-12,0.2
[0.9 0.  0.  0.  0.1],4.621583223342896e-06,0.07499999999999998
[0.8 0.2 0.  0.  0. ],1.0065339946067896e-18,-0.075
[0.8 0.1 0.1 0.  0. ],1.6910433421396183e-18,-0.075
[0.8 0.1 0.  0.1 0. ],7.553013858796475e-12,0.2
[0.8 0.1 0.  0.  0.1],3.4026674926280977e-06,0.07499999999999998
[0.8 0.  0.2 0.  0. ],1.5518124708412823e-18,-0.075
[0.8 0.  0.1 0.1 0. ],3.482852406477832e-12,0.2
[0.8 0.  0.1 0.  0.1],3.5789236426353456e-06,0.07499999999999998
[0.8 0.  0.  0.2 0. ],1.1567795610289977e-11,0.2
[0.8 0.  0.  0.1 0.1],1.9777726382017137e-06,0.07499999999999998
[0.8 0.  0.  0.  0.2],5.382267758250237e-06,0.07499999999999998
[0.7 0.3 0.  0.  0. ],1.6796441421420595e-18,-0.075
[0.7 0.2 0.1 0.  0. ],2.595257450783983e-18,-0.075
[0.7 0.2 0.  0.1 0. ],8.431376130602075e-12,0.2
[0.7 0.2 0.  0.  0.1],2.84971222281456e-06,0.04999999999999999
[0.7 0.1 0.2 0.  0. ],2.8487730566444796e-18,-0.075
[0.7 0.1 0.1 0.1 0. ],7.860030848405586e-12,0.2
[0.7 0.1 0.1 0.  0.1],2.6271222159266473e-06,0.04999999999999999
[0.7 0.1 0.  0.2 0. ],2.6453241730450826e-11,0.2
[0.7 0.1 0.  0.1 0.1],1.5896644443273545e-06,0.07499999999999998
[0.7 0.1 0.  0.  0.2],4.038398712873459e-06,0.07499999999999998
[0.7 0.  0.3 0.  0. ],2.252862338954914e-18,-0.075
[0.7 0.  0.2 0.1 0. ],3.39360717305226e-12,0.2
[0.7 0.  0.2 0.  0.1],2.3106595501303675e-06,0.04999999999999999
[0.7 0.  0.1 0.2 0. ],1.0882570222747746e-11,0.2
[0.7 0.  0.1 0.1 0.1],1.5156658366322518e-06,0.07499999999999998
[0.7 0.  0.1 0.  0.2],3.8020092993974687e-06,0.07499999999999998
[0.7 0.  0.  0.3 0. ],2.432265659990662e-11,0.2
[0.7 0.  0.  0.2 0.1],7.341064512729645e-07,0.07499999999999998
[0.7 0.  0.  0.1 0.2],1.6178097575902938e-06,0.07499999999999998
[0.7 0.  0.  0.  0.3],3.445122390985489e-06,0.07499999999999998
[0.6 0.4 0.  0.  0. ],2.2536763376172256e-18,-0.075
[0.6 0.3 0.1 0.  0. ],3.506722161456845e-18,-0.075
[0.6 0.3 0.  0.1 0. ],9.29760091139542e-12,0.2
[0.6 0.3 0.  0.  0.1],2.923359163105488e-06,0.04999999999999999
[0.6 0.2 0.2 0.  0. ],4.060133509237694e-18,-0.075
[0.6 0.2 0.1 0.1 0. ],1.0234651171003862e-11,0.2
[0.6 0.2 0.1 0.  0.1],3.2933499664068224e-06,0.024999999999999994
