Ag,Au,Cu,Pd,Pt,Active,Inactive,Blocked
1.0,0.0,0.0,0.0,0.0,0,10000,0
0.9,0.1,0.0,0.0,0.0,0,10000,0
0.9,0.0,0.1,0.0,0.0,0,10000,0
0.9,0.0,0.0,0.1,0.0,1025,8975,0
0.9,0.0,0.0,0.0,0.1,1007,8993,0
0.8,0.2,0.0,0.0,0.0,0,10000,0
0.8,0.1,0.1,0.0,0.0,0,10000,0
0.8,0.1,0.0,0.1,0.0,991,9009,0
0.8,0.1,0.0,0.0,0.1,967,9033,0
0.8,0.0,0.2,0.0,0.0,0,10000,0
0.8,0.0,0.1,0.1,0.0,983,9017,0
0.8,0.0,0.1,0.0,0.1,952,9048,0
0.8,0.0,0.0,0.2,0.0,1973,8027,0
0.8,0.0,0.0,0.1,0.1,2003,7997,0
0.8,0.0,0.0,0.0,0.2,1970,8030,0
0.7000000000000001,0.30000000000000004,0.0,0.0,0.0,0,10000,0
0.7000000000000001,0.2,0.1,0.0,0.0,0,10000,0
0.7000000000000001,0.2,0.0,0.1,0.0,990,9010,0
0.7000000000000001,0.2,0.0,0.0,0.1,979,9021,0
0.7000000000000001,0.1,0.2,0.0,0.0,0,10000,0
0.7000000000000001,0.1,0.1,0.1,0.0,966,9034,0
0.7000000000000001,0.1,0.1,0.0,0.1,989,9011,0
0.7000000000000001,0.1,0.0,0.2,0.0,1978,8022,0
0.7000000000000001,0.1,0.0,0.1,0.1,2014,7986,0
0.7000000000000001,0.1,0.0,0.0,0.2,2041,7959,0
0.7000000000000001,0.0,0.30000000000000004,0.0,0.0,0,10000,0
0.7000000000000001,0.0,0.2,0.1,0.0,965,9035,0
0.7000000000000001,0.0,0.2,0.0,0.1,1025,8975,0
0.7000000000000001,0.0,0.1,0.2,0.0,1987,8013,0
0.7000000000000001,0.0,0.1,0.1,0.1,2036,7964,0
0.7000000000000001,0.0,0.1,0.0,0.2,2030,7970,0
0.7000000000000001,0.0,0.0,0.30000000000000004,0.0,3000,7000,0
0.7000000000000001,0.0,0.0,0.2,0.1,2990,7010,0
0.7000000000000001,0.0,0.0,0.1,0.2,2983,7017,0
0.7000000000000001,0.0,0.0,0.0,0.30000000000000004,3010,6990,0
0.6000000000000001,0.4,0.0,0.0,0.0,0,10000,0
0.6000000000000001,0.30000000000000004,0.1,0.0,0.0,0,10000,0
0.6000000000000001,0.30000000000000004,0.0,0.1,0.0,1023,8977,0
0.6000000000000001,0.30000000000000004,0.0,0.0,0.1,964,9036,0
0.6000000000000001,0.2,0.2,0.0,0.0,0,10000,0
0.6000000000000001,0.2,0.1,0.1,0.0,1016,8984,0
0.6000000000000001,0.2,0.1,0.0,0.1,1006,8994,0
0.6000000000000001,0.2,0.0,0.2,0.0,1986,8014,0
0.6000000000000001,0.2,0.0,0.1,0.1,2030,7970,0
0.6000000000000001,0.2,0.0,0.0,0.2,2027,7973,0
0.6000000000000001,0.1,0.30000000000000004,0.0,0.0,0,10000,0
0.6000000000000001,0.1,0.2,0.1,0.0,933,9067,0
0.6000000000000001,0.1,0.2,0.0,0.1,938,9062,0
0.6000000000000001,0.1,0.1,0.2,0.0,1958,8042,0
0.6000000000000001,0.1,0.1,0.1,0.1,2007,7993,0
0.6000000000000001,0.1,0.1,0.0,0.2,2010,7990,0
0.6000000000000001,0.1,0.0,0.30000000000000004,0.0,2969,7031,0
0.6000000000000001,0.1,0.0,0.2,0.1,2951,7049,0
0.6000000000000001,0.1,0.0,0.1,0.2,3083,6917,0
0.6000000000000001,0.1,0.0,0.0,0.30000000000000004,2887,7113,0
0.6000000000000001,0.0,0.4,0.0,0.0,0,10000,0
0.6000000000000001,0.0,0.30000000000000004,0.1,0.0,956,9044,0
0.6000000000000001,0.0,0.30000000000000004,0.0,0.1,1024,8976,0
0.6000000000000001,0.0,0.2,0.2,0.0,2004,7996,0
0.6000000000000001,0.0,0.2,0.1,0.1,2025,7975,0
0.6000000000000001,0.0,0.2,0.0,0.2,1980,8020,0
0.6000000000000001,0.0,0.1,0.30000000000000004,0.0,2937,7063,0
0.6000000000000001,0.0,0.1,0.2,0.1,2962,7038,0
0.6000000000000001,0.0,0.1,0.1,0.2,2998,7002,0
0.6000000000000001,0.0,0.1,0.0,0.30000000000000004,2960,7040,0
0.6000000000000001,0.0,0.0,0.4,0.0,3929,6071,0
0.6000000000000001,0.0,0.0,0.30000000000000004,0.1,4018,5982,0
0.6000000000000001,0.0,0.0,0.2,0.2,4001,5999,0
0.6000000000000001,0.0,0.0,0.1,0.30000000000000004,3988,6012,0
0.6000000000000001,0.0,0.0,0.0,0.4,4060,5940,0
0.5,0.5,0.0,0.0,0.0,0,10000,0
0.5,0.4,0.1,0.0,0.0,0,10000,0
0.5,0.4,0.0,0.1,0.0,1039,8961,0
0.5,0.4,0.0,0.0,0.1,1041,8959,0
0.5,0.30000000000000004,0.2,0.0,0.0,0,10000,0
0.5,0.30000000000000004,0.1,0.1,0.0,1011,8989,0
0.5,0.30000000000000004,0.1,0.0,0.1,980,9020,0
0.5,0.30000000000000004,0.0,0.2,0.0,1908,8092,0
0.5,0.30000000000000004,0.0,0.1,0.1,2020,7980,0
0.5,0.30000000000000004,0.0,0.0,0.2,2037,7963,0
0.5,0.2,0.30000000000000004,0.0,0.0,0,10000,0
0.5,0.2,0.2,0.1,0.0,1028,8972,0
0.5,0.2,0.2,0.0,0.1,949,9051,0
0.5,0.2,0.1,0.2,0.0,2029,7971,0
0.5,0.2,0.1,0.1,0.1,2015,7985,0
0.5,0.2,0.1,0.0,0.2,2010,7990,0
0.5,0.2,0.0,0.30000000000000004,0.0,2963,7037,0
0.5,0.2,0.0,0.2,0.1,3006,6994,0
0.5,0.2,0.0,0.1,0.2,2991,7009,0
0.5,0.2,0.0,0.0,0.30000000000000004,3090,6910,0
0.5,0.1,0.4,0.0,0.0,0,10000,0
0.5,0.1,0.30000000000000004,0.1,0.0,943,9057,0
0.5,0.1,0.30000000000000004,0.0,0.1,970,9030,0
0.5,0.1,0.2,0.2,0.0,2017,7983,0
0.5,0.1,0.2,0.1,0.1,1981,8019,0
0.5,0.1,0.2,0.0,0.2,2015,7985,0
0.5,0.1,0.1,0.30000000000000004,0.0,3028,6972,0
0.5,0.1,0.1,0.2,0.1,3011,6989,0
0.5,0.1,0.1,0.1,0.2,3100,6900,0
0.5,0.1,0.1,0.0,0.30000000000000004,2933,7067,0
0.5,0.1,0.0,0.4,0.0,3966,6034,0
0.5,0.1,0.0,0.30000000000000004,0.1,3970,6030,0
0.5,0.1,0.0,0.2,0.2,3975,6025,0
0.5,0.1,0.0,0.1,0.30000000000000004,4026,5974,0
0.5,0.1,0.0,0.0,0.4,3990,6010,0
0.5,0.0,0.5,0.0,0.0,0,10000,0
0.5,0.0,0.4,0.1,0.0,1001,8999,0
0.5,0.0,0.4,0.0,0.1,1035,8965,0
0.5,0.0,0.30000000000000004,0.2,0.0,2008,7992,0
0.5,0.0,0.30000000000000004,0.1,0.1,1944,8056,0
0.5,0.0,0.30000000000000004,0.0,0.2,1961,8039,0
0.5,0.0,0.2,0.30000000000000004,0.0,2999,7001,0
0.5,0.0,0.2,0.2,0.1,3001,6999,0
0.5,0.0,0.2,0.1,0.2,2959,7041,0
0.5,0.0,0.2,0.0,0.30000000000000004,2985,7015,0
0.5,0.0,0.1,0.4,0.0,3893,6107,0
0.5,0.0,0.1,0.30000000000000004,0.1,4001,5999,0
0.5,0.0,0.1,0.2,0.2,4037,5963,0
0.5,0.0,0.1,0.1,0.30000000000000004,3940,6060,0
0.5,0.0,0.1,0.0,0.4,3983,6017,0
0.5,0.0,0.0,0.5,0.0,5032,4968,0
0.5,0.0,0.0,0.4,0.1,5045,4955,0
0.5,0.0,0.0,0.30000000000000004,0.2,4975,5025,0
0.5,0.0,0.0,0.2,0.30000000000000004,4957,5043,0
0.5,0.0,0.0,0.1,0.4,5009,4991,0
0.5,0.0,0.0,0.0,0.5,5058,4942,0
0.4,0.6000000000000001,0.0,0.0,0.0,0,10000,0
0.4,0.5,0.1,0.0,0.0,0,10000,0
0.4,0.5,0.0,0.1,0.0,969,9031,0
0.4,0.5,0.0,0.0,0.1,939,9061,0
0.4,0.4,0.2,0.0,0.0,0,10000,0
0.4,0.4,0.1,0.1,0.0,992,9008,0
0.4,0.4,0.1,0.0,0.1,975,9025,0
0.4,0.4,0.0,0.2,0.0,1915,8085,0
0.4,0.4,0.0,0.1,0.1,1980,8020,0
0.4,0.4,0.0,0.0,0.2,1975,8025,0
