Ag,Au,Cu,Pd,Pt,Active,Inactive,Blocked
1.0,0.0,0.0,0.0,0.0,0,10000,0
0.9,0.1,0.0,0.0,0.0,0,10000,0
0.9,0.0,0.1,0.0,0.0,0,10000,0
0.9,0.0,0.0,0.1,0.0,0,10000,0
0.9,0.0,0.0,0.0,0.1,15,9981,4
0.8,0.2,0.0,0.0,0.0,0,10000,0
0.8,0.1,0.1,0.0,0.0,0,10000,0
0.8,0.1,0.0,0.1,0.0,0,10000,0
0.8,0.1,0.0,0.0,0.1,18,9981,1
0.8,0.0,0.2,0.0,0.0,0,10000,0
0.8,0.0,0.1,0.1,0.0,0,10000,0
0.8,0.0,0.1,0.0,0.1,11,9988,1
0.8,0.0,0.0,0.2,0.0,0,10000,0
0.8,0.0,0.0,0.1,0.1,7,9982,11
0.8,0.0,0.0,0.0,0.2,43,9944,13
0.7000000000000001,0.30000000000000004,0.0,0.0,0.0,0,10000,0
0.7000000000000001,0.2,0.1,0.0,0.0,0,10000,0
0.7000000000000001,0.2,0.0,0.1,0.0,0,10000,0
0.7000000000000001,0.2,0.0,0.0,0.1,16,9983,1
0.7000000000000001,0.1,0.2,0.0,0.0,0,10000,0
0.7000000000000001,0.1,0.1,0.1,0.0,0,10000,0
0.7000000000000001,0.1,0.1,0.0,0.1,12,9988,0
0.7000000000000001,0.1,0.0,0.2,0.0,0,10000,0
0.7000000000000001,0.1,0.0,0.1,0.1,5,9986,9
0.7000000000000001,0.1,0.0,0.0,0.2,50,9936,14
0.7000000000000001,0.0,0.30000000000000004,0.0,0.0,0,10000,0
0.7000000000000001,0.0,0.2,0.1,0.0,0,10000,0
0.7000000000000001,0.0,0.2,0.0,0.1,5,9995,0
0.7000000000000001,0.0,0.1,0.2,0.0,0,10000,0
0.7000000000000001,0.0,0.1,0.1,0.1,7,9990,3
0.7000000000000001,0.0,0.1,0.0,0.2,34,9960,6
0.7000000000000001,0.0,0.0,0.30000000000000004,0.0,0,10000,0
0.7000000000000001,0.0,0.0,0.2,0.1,6,9983,11
0.7000000000000001,0.0,0.0,0.1,0.2,37,9930,33
0.7000000000000001,0.0,0.0,0.0,0.30000000000000004,67,9909,24
0.6000000000000001,0.4,0.0,0.0,0.0,0,10000,0
0.6000000000000001,0.30000000000000004,0.1,0.0,0.0,0,10000,0
0.6000000000000001,0.30000000000000004,0.0,0.1,0.0,0,10000,0
0.6000000000000001,0.30000000000000004,0.0,0.0,0.1,7,9991,2
0.6000000000000001,0.2,0.2,0.0,0.0,0,10000,0
0.6000000000000001,0.2,0.1,0.1,0.0,0,10000,0
0.6000000000000001,0.2,0.1,0.0,0.1,5,9995,0
0.6000000000000001,0.2,0.0,0.2,0.0,0,10000,0
0.6000000000000001,0.2,0.0,0.1,0.1,9,9981,10
0.6000000000000001,0.2,0.0,0.0,0.2,44,9949,7
0.6000000000000001,0.1,0.30000000000000004,0.0,0.0,0,10000,0
0.6000000000000001,0.1,0.2,0.1,0.0,0,10000,0
0.6000000000000001,0.1,0.2,0.0,0.1,4,9996,0
0.6000000000000001,0.1,0.1,0.2,0.0,0,10000,0
0.6000000000000001,0.1,0.1,0.1,0.1,3,9996,1
0.6000000000000001,0.1,0.1,0.0,0.2,23,9972,5
0.6000000000000001,0.1,0.0,0.30000000000000004,0.0,0,10000,0
0.6000000000000001,0.1,0.0,0.2,0.1,7,9980,13
0.6000000000000001,0.1,0.0,0.1,0.2,34,9934,32
0.6000000000000001,0.1,0.0,0.0,0.30000000000000004,71,9899,30
0.6000000000000001,0.0,0.4,0.0,0.0,0,10000,0
0.6000000000000001,0.0,0.30000000000000004,0.1,0.0,0,10000,0
0.6000000000000001,0.0,0.30000000000000004,0.0,0.1,2,9998,0
0.6000000000000001,0.0,0.2,0.2,0.0,0,10000,0
0.6000000000000001,0.0,0.2,0.1,0.1,4,9995,1
0.6000000000000001,0.0,0.2,0.0,0.2,15,9981,4
0.6000000000000001,0.0,0.1,0.30000000000000004,0.0,0,10000,0
0.6000000000000001,0.0,0.1,0.2,0.1,4,9986,10
0.6000000000000001,0.0,0.1,0.1,0.2,22,9967,11
0.6000000000000001,0.0,0.1,0.0,0.30000000000000004,55,9927,18
0.6000000000000001,0.0,0.0,0.4,0.0,0,10000,0
0.6000000000000001,0.0,0.0,0.30000000000000004,0.1,1,9986,13
0.6000000000000001,0.0,0.0,0.2,0.2,20,9940,40
0.6000000000000001,0.0,0.0,0.1,0.30000000000000004,46,9879,75
0.6000000000000001,0.0,0.0,0.0,0.4,78,9882,40
0.5,0.5,0.0,0.0,0.0,0,10000,0
0.5,0.4,0.1,0.0,0.0,0,10000,0
0.5,0.4,0.0,0.1,0.0,0,10000,0
0.5,0.4,0.0,0.0,0.1,9,9991,0
0.5,0.30000000000000004,0.2,0.0,0.0,0,10000,0
0.5,0.30000000000000004,0.1,0.1,0.0,0,10000,0
0.5,0.30000000000000004,0.1,0.0,0.1,11,9989,0
0.5,0.30000000000000004,0.0,0.2,0.0,0,10000,0
0.5,0.30000000000000004,0.0,0.1,0.1,0,9995,5
0.5,0.30000000000000004,0.0,0.0,0.2,37,9961,2
0.5,0.2,0.30000000000000004,0.0,0.0,0,10000,0
0.5,0.2,0.2,0.1,0.0,0,10000,0
0.5,0.2,0.2,0.0,0.1,3,9997,0
0.5,0.2,0.1,0.2,0.0,0,10000,0
0.5,0.2,0.1,0.1,0.1,4,9993,3
0.5,0.2,0.1,0.0,0.2,33,9963,4
0.5,0.2,0.0,0.30000000000000004,0.0,0,10000,0
0.5,0.2,0.0,0.2,0.1,5,9990,5
0.5,0.2,0.0,0.1,0.2,29,9946,25
0.5,0.2,0.0,0.0,0.30000000000000004,59,9922,19
0.5,0.1,0.4,0.0,0.0,0,10000,0
0.5,0.1,0.30000000000000004,0.1,0.0,0,10000,0
0.5,0.1,0.30000000000000004,0.0,0.1,2,9998,0
0.5,0.1,0.2,0.2,0.0,0,10000,0
0.5,0.1,0.2,0.1,0.1,0,9998,2
0.5,0.1,0.2,0.0,0.2,30,9968,2
0.5,0.1,0.1,0.30000000000000004,0.0,0,10000,0
0.5,0.1,0.1,0.2,0.1,0,9994,6
0.5,0.1,0.1,0.1,0.2,31,9944,25
0.5,0.1,0.1,0.0,0.30000000000000004,55,9934,11
0.5,0.1,0.0,0.4,0.0,0,10000,0
0.5,0.1,0.0,0.30000000000000004,0.1,3,9982,15
0.5,0.1,0.0,0.2,0.2,19,9936,45
0.5,0.1,0.0,0.1,0.30000000000000004,47,9877,76
0.5,0.1,0.0,0.0,0.4,91,9878,31
0.5,0.0,0.5,0.0,0.0,0,10000,0
0.5,0.0,0.4,0.1,0.0,0,10000,0
0.5,0.0,0.4,0.0,0.1,1,9999,0
0.5,0.0,0.30000000000000004,0.2,0.0,0,10000,0
0.5,0.0,0.30000000000000004,0.1,0.1,4,9994,2
0.5,0.0,0.30000000000000004,0.0,0.2,17,9981,2
0.5,0.0,0.2,0.30000000000000004,0.0,0,10000,0
0.5,0.0,0.2,0.2,0.1,2,9995,3
0.5,0.0,0.2,0.1,0.2,18,9965,17
0.5,0.0,0.2,0.0,0.30000000000000004,26,9970,4
0.5,0.0,0.1,0.4,0.0,0,10000,0
0.5,0.0,0.1,0.30000000000000004,0.1,1,9993,6
0.5,0.0,0.1,0.2,0.2,17,9962,21
0.5,0.0,0.1,0.1,0.30000000000000004,34,9925,41
0.5,0.0,0.1,0.0,0.4,47,9938,15
0.5,0.0,0.0,0.5,0.0,0,10000,0
0.5,0.0,0.0,0.4,0.1,0,9985,15
0.5,0.0,0.0,0.30000000000000004,0.2,10,9938,52
0.5,0.0,0.0,0.2,0.30000000000000004,22,9878,100
0.5,0.0,0.0,0.1,0.4,34,9882,84
0.5,0.0,0.0,0.0,0.5,45,9917,38
0.4,0.6000000000000001,0.0,0.0,0.0,0,10000,0
0.4,0.5,0.1,0.0,0.0,0,10000,0
0.4,0.5,0.0,0.1,0.0,0,10000,0
0.4,0.5,0.0,0.0,0.1,6,9994,0
0.4,0.4,0.2,0.0,0.0,0,10000,0
0.4,0.4,0.1,0.1,0.0,0,10000,0
0.4,0.4,0.1,0.0,0.1,6,9994,0
0.4,0.4,0.0,0.2,0.0,0,10000,0
0.4,0.4,0.0,0.1,0.1,7,9990,3
0.4,0.4,0.0,0.0,0.2,33,9960,7
0.4,0.30000000000000004,0.30000000000000004,0.0,0.0,0,10000,0
0.4,0.30000000000000004,0.2,0.1,0.0,0,10000,0
