Adsorbate,Action,Gibbs E,Border_voltage,Voltage,Index x,Index y,site_type,Timestamp
H,adsorb,0.4240072965621948,-0.4240072965621948,-1.0,0,0,ads_hol,0.00909113883972168
H,adsorb,0.5580295324325562,-0.5580295324325562,-1.0,0,1,ads_hol,0.009468793869018555
H,adsorb,0.01802072301506996,-0.01802072301506996,-1.0,0,2,ads_hol,0.009871721267700195
H,adsorb,0.0651693046092987,-0.0651693046092987,-1.0,0,3,ads_hol,0.010136127471923828
H,adsorb,-0.08688270300626755,0.08688270300626755,-1.0,0,4,ads_hol,0.010473012924194336
H,adsorb,-0.05835887789726257,0.05835887789726257,-1.0,0,5,ads_hol,0.010741949081420898
H,adsorb,0.2628597617149353,-0.2628597617149353,-1.0,0,6,ads_hol,0.011074066162109375
H,adsorb,0.08560501784086227,-0.08560501784086227,-1.0,0,7,ads_hol,0.011255025863647461
H,adsorb,-0.011686350218951702,0.011686350218951702,-1.0,0,8,ads_hol,0.011588096618652344
H,adsorb,-0.01890273205935955,0.01890273205935955,-1.0,0,9,ads_hol,0.01176595687866211
H,adsorb,0.17425259947776794,-0.17425259947776794,-1.0,0,10,ads_hol,0.011816978454589844
H,adsorb,0.2897178530693054,-0.2897178530693054,-1.0,0,11,ads_hol,0.011858940124511719
H,adsorb,0.23166295886039734,-0.23166295886039734,-1.0,0,12,ads_hol,0.01189875602722168
H,adsorb,0.11287353932857513,-0.11287353932857513,-1.0,0,13,ads_hol,0.01193690299987793
H,adsorb,-0.18257364630699158,0.18257364630699158,-1.0,0,14,ads_hol,0.011973857879638672
H,adsorb,0.028750376775860786,-0.028750376775860786,-1.0,0,15,ads_hol,0.012011051177978516
H,adsorb,0.020887302234768867,-0.020887302234768867,-1.0,0,16,ads_hol,0.012047767639160156
H,adsorb,0.09104391187429428,-0.09104391187429428,-1.0,0,17,ads_hol,0.012084007263183594
H,adsorb,0.08185968548059464,-0.08185968548059464,-1.0,0,18,ads_hol,0.01212000846862793
H,adsorb,-0.05674300342798233,0.05674300342798233,-1.0,0,19,ads_hol,0.012155771255493164
H,adsorb,0.08704409748315811,-0.08704409748315811,-1.0,0,20,ads_hol,0.012189865112304688
H,adsorb,-0.0625845193862915,0.0625845193862915,-1.0,0,21,ads_hol,0.012258052825927734
H,adsorb,0.007145504467189312,-0.007145504467189312,-1.0,0,22,ads_hol,0.012327909469604492
H,adsorb,0.48099690675735474,-0.48099690675735474,-1.0,0,23,ads_hol,0.012376070022583008
H,adsorb,-0.12410710752010345,0.12410710752010345,-1.0,0,24,ads_hol,0.012418031692504883
H,adsorb,-0.11762529611587524,0.11762529611587524,-1.0,0,25,ads_hol,0.012459039688110352
H,adsorb,0.1559089720249176,-0.1559089720249176,-1.0,0,26,ads_hol,0.0124969482421875
H,adsorb,0.15192916989326477,-0.15192916989326477,-1.0,0,27,ads_hol,0.01253509521484375
