Adsorbate,Action,Gibbs E,Border_voltage,Voltage,Index x,Index y,site_type,Timestamp
H,adsorb,-0.15274710953235626,0.15274710953235626,0.025,0,1,ads_hol,0.008677959442138672
H,adsorb,-0.08091681450605392,0.08091681450605392,0.025,0,5,ads_hol,0.009082794189453125
H,adsorb,-0.09117212891578674,0.09117212891578674,0.025,0,10,ads_hol,0.00942087173461914
H,adsorb,-0.025018861517310143,0.025018861517310143,0.025,0,15,ads_hol,0.00972294807434082
H,adsorb,-0.09222012758255005,0.09222012758255005,0.025,0,21,ads_hol,0.009965896606445312
H,adsorb,-0.1183876320719719,0.1183876320719719,0.025,0,23,ads_hol,0.010156869888305664
H,adsorb,-0.025104565545916557,0.025104565545916557,0.025,0,26,ads_hol,0.010390043258666992
H,adsorb,-0.0557447224855423,0.0557447224855423,0.025,0,30,ads_hol,0.010660886764526367
H,adsorb,-0.04484212398529053,0.04484212398529053,0.025,0,32,ads_hol,0.01077580451965332
H,adsorb,-0.05810092017054558,0.05810092017054558,0.025,0,34,ads_hol,0.011053800582885742
H,adsorb,-0.21490854024887085,0.21490854024887085,0.025,0,36,ads_hol,0.011115789413452148
H,adsorb,-0.19336152076721191,0.19336152076721191,0.025,0,37,ads_hol,0.011160850524902344
H,adsorb,-0.11902497708797455,0.11902497708797455,0.025,0,39,ads_hol,0.011449813842773438
H,adsorb,-0.10291920602321625,0.10291920602321625,0.025,0,40,ads_hol,0.011511802673339844
H,adsorb,-0.08239834755659103,0.08239834755659103,0.025,0,42,ads_hol,0.011557817459106445
H,adsorb,-0.11935105174779892,0.11935105174779892,0.025,0,43,ads_hol,0.0115966796875
H,adsorb,-0.08428474515676498,0.08428474515676498,0.025,0,45,ads_hol,0.011636972427368164
H,adsorb,-0.11600815504789352,0.11600815504789352,0.025,0,46,ads_hol,0.011671781539916992
H,adsorb,-0.04418174922466278,0.04418174922466278,0.025,0,47,ads_hol,0.011707782745361328
H,adsorb,-0.14094993472099304,0.14094993472099304,0.025,0,52,ads_hol,0.011751890182495117
H,adsorb,-0.07696331292390823,0.07696331292390823,0.025,0,56,ads_hol,0.011795997619628906
H,adsorb,-0.10052359104156494,0.10052359104156494,0.025,0,60,ads_hol,0.011887788772583008
H,adsorb,-0.08833680301904678,0.08833680301904678,0.025,0,61,ads_hol,0.011935949325561523
H,adsorb,-0.14063557982444763,0.14063557982444763,0.025,0,62,ads_hol,0.011976003646850586
H,adsorb,-0.0746670588850975,0.0746670588850975,0.025,0,66,ads_hol,0.012019872665405273
H,adsorb,-0.12464673072099686,0.12464673072099686,0.025,0,67,ads_hol,0.01205587387084961
H,adsorb,-0.08323539793491364,0.08323539793491364,0.025,0,68,ads_hol,0.012091875076293945
H,adsorb,-0.08451379090547562,0.08451379090547562,0.025,0,79,ads_hol,0.012153863906860352
H,adsorb,-0.04771159216761589,0.04771159216761589,0.025,0,80,ads_hol,0.012188911437988281
H,adsorb,-0.12170849740505219,0.12170849740505219,0.025,0,85,ads_hol,0.012233972549438477
H,adsorb,-0.038882456719875336,0.038882456719875336,0.025,0,89,ads_hol,0.012275934219360352
H,adsorb,-0.08149544149637222,0.08149544149637222,0.025,1,2,ads_hol,0.012341022491455078
H,adsorb,-0.07821718603372574,0.07821718603372574,0.025,1,6,ads_hol,0.012382984161376953
H,adsorb,-0.05763280391693115,0.05763280391693115,0.025,1,7,ads_hol,0.012415885925292969
H,adsorb,-0.028491519391536713,0.028491519391536713,0.025,1,9,ads_hol,0.012451887130737305
H,adsorb,-0.09588904678821564,0.09588904678821564,0.025,1,21,ads_hol,0.012511968612670898
H,adsorb,-0.17463669180870056,0.17463669180870056,0.025,1,22,ads_hol,0.01254582405090332
H,adsorb,-0.04790106043219566,0.04790106043219566,0.025,1,23,ads_hol,0.012578725814819336
H,adsorb,-0.08321088552474976,0.08321088552474976,0.025,1,25,ads_hol,0.01261591911315918
H,adsorb,-0.0886913537979126,0.0886913537979126,0.025,1,26,ads_hol,0.012647867202758789
H,adsorb,-0.08532659709453583,0.08532659709453583,0.025,1,27,ads_hol,0.012681007385253906
H,adsorb,-0.07075425237417221,0.07075425237417221,0.025,1,31,ads_hol,0.012720823287963867
H,adsorb,-0.11466947197914124,0.11466947197914124,0.025,1,32,ads_hol,0.012753963470458984
H,adsorb,-0.09306316822767258,0.09306316822767258,0.025,1,37,ads_hol,0.01279592514038086
H,adsorb,-0.032259710133075714,0.032259710133075714,0.025,1,38,ads_hol,0.012828826904296875
H,adsorb,-0.12944957613945007,0.12944957613945007,0.025,1,39,ads_hol,0.012906074523925781
H,adsorb,-0.11891145259141922,0.11891145259141922,0.025,1,42,ads_hol,0.012945890426635742
H,adsorb,-0.1287262737751007,0.1287262737751007,0.025,1,48,ads_hol,0.012993097305297852
H,adsorb,-0.17339330911636353,0.17339330911636353,0.025,1,52,ads_hol,0.013035058975219727
H,adsorb,-0.054635465145111084,0.054635465145111084,0.025,1,57,ads_hol,0.01307988166809082
H,adsorb,-0.12146266549825668,0.12146266549825668,0.025,1,58,ads_hol,0.01311492919921875
H,adsorb,-0.04779786244034767,0.04779786244034767,0.025,1,59,ads_hol,0.013150930404663086
H,adsorb,-0.05180556699633598,0.05180556699633598,0.025,1,60,ads_hol,0.013185739517211914
H,adsorb,-0.09600383043289185,0.09600383043289185,0.025,1,61,ads_hol,0.013220787048339844
H,adsorb,-0.08568333834409714,0.08568333834409714,0.025,1,65,ads_hol,0.013264894485473633
H,adsorb,-0.03037584014236927,0.03037584014236927,0.025,1,88,ads_hol,0.01335287094116211
H,adsorb,-0.09690192341804504,0.09690192341804504,0.025,2,13,ads_hol,0.013447999954223633
H,adsorb,-0.08822695910930634,0.08822695910930634,0.025,2,15,ads_hol,0.013485908508300781
H,adsorb,-0.03661681339144707,0.03661681339144707,0.025,2,16,ads_hol,0.013519763946533203
