Adsorbate,Action,Gibbs E,Border_voltage,Voltage,Index x,Index y,site_type,Timestamp
H,adsorb,0.10916278511285782,0.19083721488714217,-1.0,0,0,ads_hol,0.011728048324584961
H,adsorb,0.39315155148506165,-0.09315155148506166,-1.0,0,1,ads_hol,0.012521982192993164
H,adsorb,0.3795771300792694,-0.07957713007926942,-1.0,0,2,ads_hol,0.013015031814575195
H,adsorb,0.48010730743408203,-0.18010730743408204,-1.0,0,3,ads_hol,0.01335597038269043
H,adsorb,0.13222594559192657,0.16777405440807341,-1.0,0,4,ads_hol,0.013723134994506836
H,adsorb,0.4727838933467865,-0.1727838933467865,-1.0,0,5,ads_hol,0.013932943344116211
H,adsorb,-0.0880870372056961,0.3880870372056961,-1.0,0,6,ads_hol,0.014382123947143555
H,adsorb,-0.050753507763147354,0.35075350776314734,-1.0,0,7,ads_hol,0.014521121978759766
H,adsorb,0.18607363104820251,0.11392636895179747,-1.0,0,8,ads_hol,0.014569997787475586
H,adsorb,0.20127780735492706,0.09872219264507293,-1.0,0,9,ads_hol,0.014612913131713867
H,adsorb,0.339160293340683,-0.039160293340682995,-1.0,0,10,ads_hol,0.014653921127319336
H,adsorb,0.2163860946893692,0.08361390531063079,-1.0,0,11,ads_hol,0.0146942138671875
H,adsorb,0.1875220686197281,0.1124779313802719,-1.0,0,12,ads_hol,0.014733076095581055
H,adsorb,0.009750264696776867,0.2902497353032231,-1.0,0,13,ads_hol,0.01477193832397461
H,adsorb,-0.06146589294075966,0.36146589294075965,-1.0,0,14,ads_hol,0.01481008529663086
H,adsorb,0.04840626195073128,0.2515937380492687,-1.0,0,15,ads_hol,0.014847993850708008
H,adsorb,-0.15700803697109222,0.4570080369710922,-1.0,0,16,ads_hol,0.014885187149047852
H,adsorb,-0.07991008460521698,0.37991008460521697,-1.0,0,17,ads_hol,0.014921903610229492
H,adsorb,0.12533068656921387,0.17466931343078612,-1.0,0,18,ads_hol,0.014959096908569336
H,adsorb,0.44012919068336487,-0.14012919068336488,-1.0,0,19,ads_hol,0.01499485969543457
H,adsorb,0.3579619824886322,-0.05796198248863221,-1.0,0,20,ads_hol,0.015032052993774414
H,adsorb,-0.020786350592970848,0.32078635059297084,-1.0,0,21,ads_hol,0.015068769454956055
H,adsorb,-0.021429143846035004,0.321429143846035,-1.0,0,22,ads_hol,0.015105009078979492
H,adsorb,0.5108543038368225,-0.21085430383682252,-1.0,0,23,ads_hol,0.015142202377319336
H,adsorb,0.5111225247383118,-0.21112252473831178,-1.0,0,24,ads_hol,0.015177011489868164
H,adsorb,0.0914793312549591,0.20852066874504088,-1.0,0,25,ads_hol,0.01520991325378418
H,adsorb,-0.0440075658261776,0.3440075658261776,-1.0,0,26,ads_hol,0.015244007110595703
H,adsorb,0.39977124333381653,-0.09977124333381654,-1.0,0,27,ads_hol,0.015278100967407227
H,adsorb,0.01468640472739935,0.28531359527260064,-1.0,0,28,ads_hol,0.01531219482421875
H,adsorb,0.567933976650238,-0.26793397665023805,-1.0,0,29,ads_hol,0.015344858169555664
H,adsorb,0.49252617359161377,-0.19252617359161378,-1.0,0,30,ads_hol,0.015378952026367188
H,adsorb,0.060462672263383865,0.23953732773661612,-1.0,0,31,ads_hol,0.015411853790283203
H,adsorb,0.15684747695922852,0.14315252304077147,-1.0,0,32,ads_hol,0.01544499397277832
H,adsorb,-0.01935478486120701,0.319354784861207,-1.0,0,33,ads_hol,0.015479087829589844
H,adsorb,-0.09263390302658081,0.3926339030265808,-1.0,0,34,ads_hol,0.01551198959350586
H,adsorb,-0.12007316201925278,0.42007316201925277,-1.0,0,35,ads_hol,0.015546083450317383
H,adsorb,0.1803441047668457,0.11965589523315429,-1.0,0,36,ads_hol,0.015578985214233398
H,adsorb,0.051148395985364914,0.24885160401463507,-1.0,0,37,ads_hol,0.015611886978149414
H,adsorb,-0.17916938662528992,0.4791693866252899,-1.0,0,38,ads_hol,0.015645980834960938
H,adsorb,0.4917207360267639,-0.19172073602676393,-1.0,0,39,ads_hol,0.015681028366088867
H,adsorb,0.49937722086906433,-0.19937722086906434,-1.0,0,40,ads_hol,0.015789031982421875
H,adsorb,0.40975290536880493,-0.10975290536880494,-1.0,0,41,ads_hol,0.015826940536499023
H,adsorb,0.30515819787979126,-0.005158197879791271,-1.0,0,42,ads_hol,0.01589488983154297
H,adsorb,0.1012468934059143,0.19875310659408568,-1.0,0,43,ads_hol,0.015945911407470703
H,adsorb,0.39690324664115906,-0.09690324664115907,-1.0,0,44,ads_hol,0.015988826751708984
H,adsorb,-0.007162290625274181,0.30716229062527417,-1.0,0,45,ads_hol,0.01603102684020996
