feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,G_ads (eV),slab db row,COOH_C_adsorbed_out.dbrow
0,0,0,1,0,1,0,3,1,1,0,0,0,0,3,1,0,0,2,0,0.344127,1,1
0,0,1,0,0,0,0,3,1,2,0,1,1,0,1,0,0,1,2,0,0.985115,1,2
0,0,0,0,1,1,0,2,2,1,0,0,2,0,1,2,0,0,1,0,-0.038462,1,3
0,0,1,0,0,1,0,2,2,1,0,1,0,1,1,0,0,0,2,1,0.944588,1,4
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,-0.159343,1,5
1,0,0,0,0,0,0,3,1,2,1,0,1,0,1,1,1,0,0,1,1.162892,1,6
0,0,0,1,0,0,0,3,1,2,0,1,0,1,1,1,0,0,2,0,0.328912,1,7
0,0,1,0,0,1,0,2,2,1,1,1,0,0,1,0,1,1,1,0,0.804126,1,8
0,0,1,0,0,1,0,3,1,1,1,0,1,1,0,1,0,1,0,1,0.881441,1,9
0,0,1,0,0,3,0,1,1,1,0,0,2,1,0,2,0,1,0,0,0.946097,2,10
0,0,0,0,1,2,1,1,1,1,1,0,2,0,0,3,0,0,0,0,0.171850,2,11
0,0,0,1,0,1,1,2,0,2,1,0,2,0,0,1,0,1,1,0,0.587659,2,12
1,0,0,0,0,1,1,2,0,2,0,1,1,1,0,3,0,0,0,0,1.211561,2,13
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,0.004746,2,14
1,0,0,0,0,2,1,1,1,1,0,0,2,1,0,2,0,1,0,0,1.231596,2,15
0,0,1,0,0,2,1,1,1,1,0,1,1,0,1,2,0,0,1,0,0.807425,2,16
1,0,0,0,0,1,1,2,0,2,0,0,2,0,1,3,0,0,0,0,1.206535,2,17
0,1,0,0,0,3,0,1,1,1,1,1,1,0,0,2,0,0,1,0,0.841525,2,18
1,0,0,0,0,0,2,1,2,1,0,1,0,1,1,0,0,1,2,0,1.196262,3,19
0,0,0,1,0,2,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0.509289,3,20
0,1,0,0,0,2,1,0,3,0,0,2,0,1,0,1,0,1,0,1,0.789804,3,21
0,0,1,0,0,2,1,0,3,0,2,0,0,1,0,0,0,1,1,1,0.917753,3,22
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,0.492444,3,23
0,0,0,1,0,2,1,1,1,1,0,2,0,1,0,0,0,2,0,1,0.339541,3,24
0,1,0,0,0,2,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0.887643,3,25
0,0,0,0,1,2,1,0,3,0,0,1,1,0,1,0,0,1,1,1,-0.019314,3,26
1,0,0,0,0,0,2,1,2,1,1,1,0,1,0,1,0,2,0,0,1.361458,3,27
0,0,0,1,0,0,2,0,3,1,0,0,3,0,0,0,1,1,0,1,0.660249,4,28
0,1,0,0,0,0,2,0,4,0,1,1,1,0,0,1,0,1,0,1,0.908626,4,29
0,1,0,0,0,0,2,0,3,1,1,0,1,1,0,1,1,0,1,0,0.884595,4,30
0,0,0,1,0,0,2,0,3,1,0,2,1,0,0,1,0,1,1,0,0.416471,4,31
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,0.358609,4,32
0,0,0,0,1,0,2,0,4,0,0,0,1,1,1,2,1,0,0,0,-0.071328,4,33
0,0,0,1,0,0,2,0,4,0,0,1,1,1,0,0,0,0,2,1,0.363807,4,34
0,0,0,1,0,0,2,0,3,1,0,0,1,1,1,1,0,0,0,2,0.466932,4,35
