COOH_feature0,COOH_feature1,COOH_feature2,COOH_feature3,COOH_feature4,COOH_feature5,COOH_feature6,COOH_feature7,COOH_feature8,COOH_feature9,COOH_feature10,COOH_feature11,COOH_feature12,COOH_feature13,COOH_feature14,COOH_feature15,COOH_feature16,COOH_feature17,COOH_feature18,COOH_feature19,G_ads (eV),slab db row,COOH_H_adsorbed_all_sites_out.dbrow
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,0.754644,1,1
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,1.086185,1,2
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,0.756317,1,3
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,0.831811,1,4
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,0.849153,1,5
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,0.721921,1,6
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,0.998479,2,7
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,1.001366,2,8
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,1.274024,2,9
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,1.248886,2,10
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,1.346615,2,11
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,0.990141,2,12
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,1.595493,3,13
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,1.520799,3,14
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,1.793065,3,15
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,1.363349,3,16
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,1.382633,3,17
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,1.663482,3,18
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,1.666514,4,19
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,1.484722,4,20
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,1.215628,4,21
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,1.315313,4,22
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,1.264816,4,23
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,1.449508,4,24
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,1.350510,5,25
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,1.687000,5,26
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,1.344440,5,27
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,1.077210,5,28
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,1.135144,5,29
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,1.293821,5,30
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,2.351473,6,31
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,2.285237,6,32
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,1.963180,6,33
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,2.484190,6,34
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,2.668020,6,35
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,2.518523,6,36
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,1.845669,7,37
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,1.811786,7,38
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,1.759288,7,39
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,1.725397,7,40
0,0,0,0,1,0,1,4,1,0,0,0,2,1,0,0,1,1,1,0,1.366637,7,41
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,2.381702,7,42
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,1.427058,8,43
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,1.288625,8,44
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,1.349853,8,45
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,1.544695,8,46
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,1.502694,8,47
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,1.491128,8,48
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,1.242831,9,49
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,1.446000,9,50
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,1.535275,9,51
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,1.306678,9,52
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,1.095755,9,53
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,1.013805,9,54
0,0,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1.192066,10,55
0,0,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1.094526,10,56
0,0,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1.242840,10,57
0,0,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0.985820,10,58
0,0,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0.953265,10,59
0,0,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1.432394,10,60
0,1,0,0,0,2,1,1,2,0,1,0,2,0,0,1,1,0,0,1,2.194355,11,61
0,1,0,0,0,2,1,1,2,0,1,0,2,0,0,1,1,0,0,1,2.298065,11,62
0,1,0,0,0,2,1,1,2,0,1,0,2,0,0,1,1,0,0,1,2.799998,11,63
0,1,0,0,0,2,1,1,2,0,1,0,2,0,0,1,1,0,0,1,2.285811,11,64
0,1,0,0,0,2,1,1,2,0,1,0,2,0,0,1,1,0,0,1,2.245537,11,65
0,1,0,0,0,2,1,1,2,0,1,0,2,0,0,1,1,0,0,1,1.965788,11,66
0,0,0,0,1,4,0,0,1,1,0,1,0,0,2,0,1,0,1,1,1.050598,12,67
0,0,0,0,1,4,0,0,1,1,0,1,0,0,2,0,1,0,1,1,0.875211,12,68
0,0,0,0,1,4,0,0,1,1,0,1,0,0,2,0,1,0,1,1,0.890312,12,69
0,0,0,0,1,4,0,0,1,1,0,1,0,0,2,0,1,0,1,1,0.687945,12,70
0,0,0,0,1,4,0,0,1,1,0,1,0,0,2,0,1,0,1,1,0.680275,12,71
0,0,0,0,1,4,0,0,1,1,0,1,0,0,2,0,1,0,1,1,1.143309,12,72
1,0,0,0,0,1,1,1,2,1,1,0,0,2,0,0,1,2,0,0,2.141349,13,73
1,0,0,0,0,1,1,1,2,1,1,0,0,2,0,0,1,2,0,0,1.972083,13,74
1,0,0,0,0,1,1,1,2,1,1,0,0,2,0,0,1,2,0,0,2.228947,13,75
1,0,0,0,0,1,1,1,2,1,1,0,0,2,0,0,1,2,0,0,2.531118,13,76
1,0,0,0,0,1,1,1,2,1,1,0,0,2,0,0,1,2,0,0,2.479128,13,77
1,0,0,0,0,1,1,1,2,1,1,0,0,2,0,0,1,2,0,0,2.132288,13,78
0,0,0,0,1,1,1,2,0,2,0,2,0,1,0,0,1,1,0,1,0.817572,14,79
0,0,0,0,1,1,1,2,0,2,0,2,0,1,0,0,1,1,0,1,0.814467,14,80
0,0,0,0,1,1,1,2,0,2,0,2,0,1,0,0,1,1,0,1,0.799003,14,81
0,0,0,0,1,1,1,2,0,2,0,2,0,1,0,0,1,1,0,1,0.819303,14,82
0,0,0,0,1,1,1,2,0,2,0,2,0,1,0,0,1,1,0,1,0.821339,14,83
0,0,0,0,1,1,1,2,0,2,0,2,0,1,0,0,1,1,0,1,0.840715,14,84
