feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,G_ads (eV),slab db row,CO_out.dbrow
0,0,0,1,0,1,0,3,1,1,0,0,0,0,3,1,0,0,2,0,-0.617089,1,1
0,0,1,0,0,0,0,3,1,2,0,1,1,0,1,0,0,1,2,0,0.109900,1,2
0,0,0,0,1,1,0,2,2,1,0,0,2,0,1,2,0,0,1,0,-0.842494,1,3
0,0,1,0,0,1,0,2,2,1,0,1,0,1,1,0,0,0,2,1,0.054354,1,4
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,-0.930563,1,5
1,0,0,0,0,0,0,3,1,2,1,0,1,0,1,1,1,0,0,1,0.446510,1,6
0,0,0,1,0,0,0,3,1,2,0,1,0,1,1,1,0,0,2,0,-0.555943,1,7
0,0,1,0,0,1,0,2,2,1,1,1,0,0,1,0,1,1,1,0,0.040945,1,8
0,0,1,0,0,1,0,3,1,1,1,0,1,1,0,1,0,1,0,1,0.079448,1,9
0,0,1,0,0,3,0,1,1,1,0,0,2,1,0,2,0,1,0,0,0.085867,2,10
0,0,0,0,1,2,1,1,1,1,1,0,2,0,0,3,0,0,0,0,-0.675608,2,11
0,0,0,1,0,1,1,2,0,2,1,0,2,0,0,1,0,1,1,0,-0.247163,2,12
1,0,0,0,0,1,1,2,0,2,0,1,1,1,0,3,0,0,0,0,0.434634,2,13
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,-0.853228,2,14
1,0,0,0,0,2,1,1,1,1,0,0,2,1,0,2,0,1,0,0,0.492968,2,15
0,0,1,0,0,2,1,1,1,1,0,1,1,0,1,2,0,0,1,0,0.058434,2,16
1,0,0,0,0,1,1,2,0,2,0,0,2,0,1,3,0,0,0,0,0.503093,2,17
0,1,0,0,0,3,0,1,1,1,1,1,1,0,0,2,0,0,1,0,0.507397,2,18
1,0,0,0,0,0,2,1,2,1,0,1,0,1,1,0,0,1,2,0,0.514034,3,19
