feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,G_ads (eV),slab db row,O_out.dbrow
0,1,0,0,0,0,2,2,2,0,1,0,0,1,1,0,0,0,0,3,1.482841,20,136
1,0,0,0,0,0,2,2,0,2,1,0,1,0,1,0,0,3,0,0,1.563917,21,207
0,0,0,0,1,0,4,2,0,0,0,2,0,0,1,0,0,0,3,0,0.824630,22,147
0,0,0,0,1,0,2,2,0,2,1,0,2,0,0,0,0,0,0,3,1.178234,23,144
0,0,0,0,1,0,4,0,0,2,1,1,0,0,1,0,0,0,3,0,0.990449,24,188
0,1,0,0,0,0,0,4,0,2,0,1,1,1,0,0,3,0,0,0,1.554391,25,146
0,1,0,0,0,0,2,2,2,0,0,0,0,2,1,0,0,0,3,0,1.480847,26,205
0,1,0,0,0,0,4,0,0,2,1,1,0,0,1,0,0,0,0,3,1.577413,27,259
0,1,0,0,0,0,6,0,0,0,0,0,2,1,0,0,0,0,3,0,1.449900,29,292
0,1,0,0,0,0,2,0,2,2,0,2,0,0,1,0,3,0,0,0,1.622012,30,221
0,0,0,0,1,0,0,2,0,4,0,2,0,1,0,0,0,0,3,0,0.958865,31,184
1,0,0,0,0,2,4,0,0,0,2,0,1,0,0,0,0,3,0,0,1.444648,33,203
0,0,1,0,0,2,4,0,0,0,0,1,2,0,0,0,0,0,0,3,0.829020,34,319
0,0,1,0,0,0,2,2,2,0,0,0,0,2,1,0,0,0,3,0,1.058132,35,275
0,0,1,0,0,0,4,0,2,0,1,0,0,2,0,0,0,3,0,0,1.057828,37,377
1,0,0,0,0,4,0,0,2,0,1,1,0,1,0,0,0,0,0,3,1.346223,38,272
0,1,0,0,0,2,2,2,0,0,0,0,0,1,2,3,0,0,0,0,1.299765,40,386
0,0,0,1,0,0,2,2,0,2,0,1,0,0,2,0,0,0,3,0,1.119298,42,258
0,1,0,0,0,2,2,0,2,0,0,0,1,0,2,0,0,3,0,0,1.385678,43,282
0,0,1,0,0,2,0,0,4,0,1,2,0,0,0,3,0,0,0,0,0.939588,44,331
1,0,0,0,0,0,2,0,2,2,1,1,0,1,0,0,0,0,3,0,1.733941,46,143
1,0,0,0,0,2,0,0,4,0,0,1,0,0,2,0,0,0,0,3,1.406128,47,332
0,1,0,0,0,0,0,0,2,4,0,0,1,2,0,3,0,0,0,0,1.730829,48,394
0,0,0,0,1,6,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0.903914,49,365
0,1,0,0,0,2,0,2,2,0,1,2,0,0,0,0,0,0,3,0,1.439998,50,313
0,1,0,0,0,2,0,0,0,4,1,1,1,0,0,0,0,3,0,0,1.796771,51,336
0,0,0,1,0,2,2,0,0,2,1,1,0,0,1,0,3,0,0,0,1.093543,53,358
1,0,0,0,0,2,0,0,2,2,0,0,0,1,2,3,0,0,0,0,1.476570,54,304
0,0,0,1,0,2,2,0,2,0,1,2,0,0,0,3,0,0,0,0,1.103602,59,297
1,0,0,0,0,2,0,4,0,0,0,0,2,1,0,0,0,0,0,3,1.227240,60,346
0,0,0,0,1,0,2,0,0,4,2,1,0,0,0,3,0,0,0,0,1.196883,61,277
0,1,0,0,0,2,2,0,0,2,0,2,1,0,0,0,3,0,0,0,1.429723,62,390
0,0,0,1,0,0,4,0,2,0,1,2,0,0,0,0,3,0,0,0,1.189046,63,306
0,0,1,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,3,1.189834,65,288
1,0,0,0,0,0,0,2,4,0,0,1,0,0,2,3,0,0,0,0,1.416262,67,316
0,0,0,1,0,2,0,0,4,0,1,0,0,2,0,0,3,0,0,0,0.989071,68,314
1,0,0,0,0,0,0,0,6,0,0,1,0,2,0,0,0,0,3,0,1.605016,70,337
0,0,0,1,0,0,2,0,0,4,1,1,0,1,0,0,0,0,3,0,1.327277,71,327
0,1,0,0,0,0,4,2,0,0,1,0,0,1,1,0,0,0,3,0,1.524424,73,348
0,0,0,1,0,0,2,2,2,0,1,1,1,0,0,0,0,3,0,0,1.218648,74,300
1,0,0,0,0,0,0,2,2,2,0,0,1,1,1,0,0,0,0,3,1.518965,75,361
0,0,0,1,0,0,4,2,0,0,1,1,0,0,1,0,3,0,0,0,1.171809,76,320
