COOH_feature0,COOH_feature1,COOH_feature2,COOH_feature3,COOH_feature4,COOH_feature5,COOH_feature6,COOH_feature7,COOH_feature8,COOH_feature9,COOH_feature10,COOH_feature11,COOH_feature12,COOH_feature13,COOH_feature14,COOH_feature15,COOH_feature16,COOH_feature17,COOH_feature18,COOH_feature19,G_ads (eV),slab db row,COOH_H_adsorbed_all_sites_out.dbrow
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,-0.360995,1,1
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,-0.029454,1,2
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,-0.359321,1,3
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,-0.283827,1,4
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,-0.266485,1,5
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,-0.393718,1,6
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,-0.117159,2,7
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,-0.114273,2,8
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,0.158386,2,9
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,0.133248,2,10
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,0.230976,2,11
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,-0.125497,2,12
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,0.479855,3,13
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,0.405161,3,14
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,0.677426,3,15
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,0.247711,3,16
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,0.266994,3,17
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,0.547843,3,18
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,0.550875,4,19
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,0.369084,4,20
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,0.099990,4,21
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,0.199675,4,22
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,0.149177,4,23
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,0.333870,4,24
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,0.234872,5,25
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,0.571361,5,26
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,0.228802,5,27
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,-0.038429,5,28
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,0.019505,5,29
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,0.178182,5,30
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,1.235834,6,31
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,1.169599,6,32
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,0.847542,6,33
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,1.368551,6,34
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,1.552382,6,35
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,1.402884,6,36
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,0.730030,7,37
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,0.696148,7,38
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,0.643650,7,39
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,0.609759,7,40
0,0,0,0,1,0,1,4,1,0,0,0,2,1,0,0,1,1,1,0,0.250998,7,41
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,1.266064,7,42
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,0.311419,8,43
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,0.172987,8,44
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,0.234215,8,45
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,0.429056,8,46
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,0.387056,8,47
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,0.375489,8,48
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,0.127193,9,49
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,0.330362,9,50
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,0.419636,9,51
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,0.191039,9,52
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,-0.019884,9,53
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,-0.101833,9,54
0,0,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0.076428,10,55
0,0,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,-0.021113,10,56
0,0,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0.127202,10,57
0,0,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,-0.129819,10,58
0,0,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,-0.162374,10,59
0,0,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0.316755,10,60
0,1,0,0,0,2,1,1,2,0,1,0,2,0,0,1,1,0,0,1,1.078717,11,61
0,1,0,0,0,2,1,1,2,0,1,0,2,0,0,1,1,0,0,1,1.182426,11,62
0,1,0,0,0,2,1,1,2,0,1,0,2,0,0,1,1,0,0,1,1.684359,11,63
0,1,0,0,0,2,1,1,2,0,1,0,2,0,0,1,1,0,0,1,1.170172,11,64
0,1,0,0,0,2,1,1,2,0,1,0,2,0,0,1,1,0,0,1,1.129898,11,65
0,1,0,0,0,2,1,1,2,0,1,0,2,0,0,1,1,0,0,1,0.850149,11,66
0,0,0,0,1,4,0,0,1,1,0,1,0,0,2,0,1,0,1,1,-0.065041,12,67
0,0,0,0,1,4,0,0,1,1,0,1,0,0,2,0,1,0,1,1,-0.240428,12,68
0,0,0,0,1,4,0,0,1,1,0,1,0,0,2,0,1,0,1,1,-0.225326,12,69
0,0,0,0,1,4,0,0,1,1,0,1,0,0,2,0,1,0,1,1,-0.427693,12,70
0,0,0,0,1,4,0,0,1,1,0,1,0,0,2,0,1,0,1,1,-0.435363,12,71
0,0,0,0,1,4,0,0,1,1,0,1,0,0,2,0,1,0,1,1,0.027670,12,72
1,0,0,0,0,1,1,1,2,1,1,0,0,2,0,0,1,2,0,0,1.025711,13,73
1,0,0,0,0,1,1,1,2,1,1,0,0,2,0,0,1,2,0,0,0.856444,13,74
1,0,0,0,0,1,1,1,2,1,1,0,0,2,0,0,1,2,0,0,1.113308,13,75
1,0,0,0,0,1,1,1,2,1,1,0,0,2,0,0,1,2,0,0,1.415480,13,76
1,0,0,0,0,1,1,1,2,1,1,0,0,2,0,0,1,2,0,0,1.363490,13,77
1,0,0,0,0,1,1,1,2,1,1,0,0,2,0,0,1,2,0,0,1.016649,13,78
0,0,0,0,1,1,1,2,0,2,0,2,0,1,0,0,1,1,0,1,-0.298067,14,79
0,0,0,0,1,1,1,2,0,2,0,2,0,1,0,0,1,1,0,1,-0.301172,14,80
0,0,0,0,1,1,1,2,0,2,0,2,0,1,0,0,1,1,0,1,-0.316636,14,81
0,0,0,0,1,1,1,2,0,2,0,2,0,1,0,0,1,1,0,1,-0.296335,14,82
0,0,0,0,1,1,1,2,0,2,0,2,0,1,0,0,1,1,0,1,-0.294299,14,83
