feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,G_ads (eV),slab db row,O_out.dbrow
0,1,0,0,0,0,2,2,2,0,1,0,0,1,1,0,0,0,0,3,1.827841,20,136
1,0,0,0,0,0,2,2,0,2,1,0,1,0,1,0,0,3,0,0,1.908917,21,207
0,0,0,0,1,0,4,2,0,0,0,2,0,0,1,0,0,0,3,0,1.169630,22,147
0,0,0,0,1,0,2,2,0,2,1,0,2,0,0,0,0,0,0,3,1.523234,23,144
0,0,0,0,1,0,4,0,0,2,1,1,0,0,1,0,0,0,3,0,1.335449,24,188
0,1,0,0,0,0,0,4,0,2,0,1,1,1,0,0,3,0,0,0,1.899391,25,146
0,1,0,0,0,0,2,2,2,0,0,0,0,2,1,0,0,0,3,0,1.825847,26,205
0,1,0,0,0,0,4,0,0,2,1,1,0,0,1,0,0,0,0,3,1.922413,27,259
0,1,0,0,0,0,6,0,0,0,0,0,2,1,0,0,0,0,3,0,1.794900,29,292
0,1,0,0,0,0,2,0,2,2,0,2,0,0,1,0,3,0,0,0,1.967012,30,221
0,0,0,0,1,0,0,2,0,4,0,2,0,1,0,0,0,0,3,0,1.303865,31,184
1,0,0,0,0,2,4,0,0,0,2,0,1,0,0,0,0,3,0,0,1.789648,33,203
0,0,1,0,0,2,4,0,0,0,0,1,2,0,0,0,0,0,0,3,1.174020,34,319
0,0,1,0,0,0,2,2,2,0,0,0,0,2,1,0,0,0,3,0,1.403132,35,275
0,0,1,0,0,0,4,0,2,0,1,0,0,2,0,0,0,3,0,0,1.402828,37,377
1,0,0,0,0,4,0,0,2,0,1,1,0,1,0,0,0,0,0,3,1.691223,38,272
0,1,0,0,0,2,2,2,0,0,0,0,0,1,2,3,0,0,0,0,1.644765,40,386
0,0,0,1,0,0,2,2,0,2,0,1,0,0,2,0,0,0,3,0,1.464298,42,258
0,1,0,0,0,2,2,0,2,0,0,0,1,0,2,0,0,3,0,0,1.730678,43,282
0,0,1,0,0,2,0,0,4,0,1,2,0,0,0,3,0,0,0,0,1.284588,44,331
1,0,0,0,0,0,2,0,2,2,1,1,0,1,0,0,0,0,3,0,2.078941,46,143
1,0,0,0,0,2,0,0,4,0,0,1,0,0,2,0,0,0,0,3,1.751128,47,332
0,1,0,0,0,0,0,0,2,4,0,0,1,2,0,3,0,0,0,0,2.075829,48,394
0,0,0,0,1,6,0,0,0,0,2,0,1,0,0,3,0,0,0,0,1.248914,49,365
0,1,0,0,0,2,0,2,2,0,1,2,0,0,0,0,0,0,3,0,1.784998,50,313
0,1,0,0,0,2,0,0,0,4,1,1,1,0,0,0,0,3,0,0,2.141771,51,336
0,0,0,1,0,2,2,0,0,2,1,1,0,0,1,0,3,0,0,0,1.438543,53,358
1,0,0,0,0,2,0,0,2,2,0,0,0,1,2,3,0,0,0,0,1.821570,54,304
0,0,0,1,0,2,2,0,2,0,1,2,0,0,0,3,0,0,0,0,1.448602,59,297
1,0,0,0,0,2,0,4,0,0,0,0,2,1,0,0,0,0,0,3,1.572240,60,346
0,0,0,0,1,0,2,0,0,4,2,1,0,0,0,3,0,0,0,0,1.541883,61,277
0,1,0,0,0,2,2,0,0,2,0,2,1,0,0,0,3,0,0,0,1.774723,62,390
0,0,0,1,0,0,4,0,2,0,1,2,0,0,0,0,3,0,0,0,1.534046,63,306
0,0,1,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,3,1.534834,65,288
1,0,0,0,0,0,0,2,4,0,0,1,0,0,2,3,0,0,0,0,1.761262,67,316
0,0,0,1,0,2,0,0,4,0,1,0,0,2,0,0,3,0,0,0,1.334071,68,314
1,0,0,0,0,0,0,0,6,0,0,1,0,2,0,0,0,0,3,0,1.950016,70,337
0,0,0,1,0,0,2,0,0,4,1,1,0,1,0,0,0,0,3,0,1.672277,71,327
0,1,0,0,0,0,4,2,0,0,1,0,0,1,1,0,0,0,3,0,1.869424,73,348
0,0,0,1,0,0,2,2,2,0,1,1,1,0,0,0,0,3,0,0,1.563648,74,300
1,0,0,0,0,0,0,2,2,2,0,0,1,1,1,0,0,0,0,3,1.863965,75,361
0,0,0,1,0,0,4,2,0,0,1,1,0,0,1,0,3,0,0,0,1.516809,76,320
0,0,0,0,1,0,2,0,2,2,1,0,1,0,1,0,0,0,3,0,1.293314,77,382
0,0,0,0,1,0,2,0,2,2,0,1,1,1,0,0,0,0,0,3,1.327989,78,355
0,0,0,0,1,0,2,2,0,2,2,0,1,0,0,3,0,0,0,0,1.514266,80,311
0,0,1,0,0,0,4,0,2,0,0,1,2,0,0,0,0,0,0,3,1.403315,82,343
0,0,0,1,0,0,2,0,2,2,1,1,0,1,0,0,0,0,0,3,1.590873,83,268
0,0,0,1,0,0,4,0,2,0,1,0,0,2,0,0,0,0,3,0,1.568938,85,280
0,0,0,1,0,0,0,2,0,4,1,2,0,0,0,0,0,3,0,0,1.669364,87,298
0,1,0,0,0,0,4,0,0,2,0,1,0,2,0,0,0,3,0,0,1.987175,88,366
0,0,0,1,0,2,0,2,2,0,1,0,0,1,1,0,0,0,0,3,1.374752,90,333
0,1,0,0,0,0,0,4,0,2,0,1,2,0,0,0,0,3,0,0,1.950052,92,338
0,0,0,1,0,2,0,0,0,4,1,1,0,1,0,0,0,3,0,0,1.575967,97,364
1,0,0,0,0,0,2,2,2,0,1,0,0,2,0,3,0,0,0,0,1.866609,98,349
0,0,0,0,1,0,0,2,2,2,1,2,0,0,0,0,0,3,0,0,1.362022,99,347
0,0,1,0,0,0,4,2,0,0,0,2,0,1,0,0,3,0,0,0,1.320496,100,342
