COOH_feature0,COOH_feature1,COOH_feature2,COOH_feature3,COOH_feature4,COOH_feature5,COOH_feature6,COOH_feature7,COOH_feature8,COOH_feature9,COOH_feature10,COOH_feature11,COOH_feature12,COOH_feature13,COOH_feature14,COOH_feature15,COOH_feature16,COOH_feature17,COOH_feature18,COOH_feature19,G_ads (eV),slab db row,COOH_H_adsorbed_all_sites_out.dbrow
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,0.379005,1,1
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,0.710546,1,2
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,0.380679,1,3
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,0.456173,1,4
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,0.473515,1,5
0,0,0,0,1,1,0,3,1,1,0,2,1,0,0,0,1,0,2,0,0.346282,1,6
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,0.622841,2,7
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,0.625727,2,8
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,0.898386,2,9
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,0.873248,2,10
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,0.970976,2,11
0,0,0,0,1,3,0,1,1,1,0,0,2,0,1,3,0,0,0,0,0.614503,2,12
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,1.219855,3,13
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,1.145161,3,14
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,1.417426,3,15
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,0.987711,3,16
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,1.006994,3,17
0,0,0,1,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,3,1.287843,3,18
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,1.290875,4,19
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,1.109084,4,20
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,0.839990,4,21
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,0.939675,4,22
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,0.889177,4,23
0,0,0,1,0,0,2,0,3,1,0,1,0,2,0,2,0,0,1,0,1.073870,4,24
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,0.974872,5,25
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,1.311361,5,26
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,0.968802,5,27
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,0.701571,5,28
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,0.759505,5,29
0,0,0,1,0,3,0,0,2,1,0,1,0,1,1,1,0,1,0,1,0.918182,5,30
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,1.975834,6,31
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,1.909599,6,32
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,1.587542,6,33
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,2.108551,6,34
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,2.292382,6,35
1,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,2,0,0,1,2.142884,6,36
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,1.470030,7,37
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,1.436148,7,38
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,1.383650,7,39
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,1.349759,7,40
0,0,0,0,1,0,1,4,1,0,0,0,2,1,0,0,1,1,1,0,0.990998,7,41
0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,0,1,1,1,0,2.006064,7,42
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,1.051419,8,43
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,0.912987,8,44
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,0.974215,8,45
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,1.169056,8,46
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,1.127056,8,47
0,0,0,1,0,1,0,1,3,1,2,1,0,0,0,0,0,0,2,1,1.115489,8,48
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,0.867193,9,49
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,1.070362,9,50
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,1.159636,9,51
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,0.931039,9,52
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,0.720116,9,53
0,0,0,1,0,1,0,2,2,1,0,1,1,0,1,0,0,1,0,2,0.638167,9,54
0,0,0,0,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0.816428,10,55
