COOH_feature0,COOH_feature1,COOH_feature2,COOH_feature3,COOH_feature4,COOH_feature5,COOH_feature6,COOH_feature7,COOH_feature8,COOH_feature9,COOH_feature10,COOH_feature11,COOH_feature12,COOH_feature13,COOH_feature14,COOH_feature15,COOH_feature16,COOH_feature17,COOH_feature18,COOH_feature19,G_ads (eV),slab db row,swim_ring_H_COOH_out.dbrow
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,1.046699,1,1
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,1.000631,2,2
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0.977713,3,3
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,1.018448,4,4
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,1,0,0,2,1.033961,5,5
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0.981055,6,6
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,2,0,0,1,1.005665,7,7
0,0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,2,0,0,1,0.933407,8,8
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,2,0,0,1,1.010996,9,9
0,0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,1,0,0,2,0.969391,10,10
0,0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,3,0,0,0,0.941738,11,11
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,2,0,0,1,0.887741,12,12
0,0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,2,0,0,1,0.933396,13,13
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0.997616,14,14
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,2,0,0,1,1.036020,15,15
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0.999052,16,16
0,0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,1,0,0,2,1.057286,17,17
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,1.037593,18,18
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,1.011413,19,19
0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0.986802,20,20
0,0,0,0,1,6,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0.693558,21,21
0,0,0,0,1,6,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0.894064,22,22
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.933052,23,23
0,0,0,0,1,6,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0.927923,24,24
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.946617,25,25
0,0,0,0,1,6,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0.847724,26,26
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0.964031,27,27
